,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,47011344,47 - Sở GDĐT Bình Thuận,7.20,6.75,5.80,,,,8.50,8.75,9.75
1,43000017,43 - Sở GDĐT Bình Phước,7.20,7.75,5.80,,,,8.50,8.75,9.75
2,44008676,44 - Sở GDĐT Bình Dương,8.20,8.00,6.00,,,,8.50,8.75,9.75
3,42013656,42 - Sở GDĐT Lâm Đồng,8.60,7.50,6.00,,,,8.50,8.75,9.75
4,51007077,51 - Sở GDĐT An Giang,7.60,7.00,6.20,,,,8.50,8.75,9.75
5,49010508,49 - Sở GDĐT Long An,8.20,8.25,6.60,,,,8.50,8.75,9.75
6,48003334,48 - Sở GDĐT Đồng Nai,8.00,7.25,6.80,,,,8.50,8.75,9.75
7,48023596,48 - Sở GDĐT Đồng Nai,8.40,7.00,8.00,,,,8.50,8.75,9.75
8,44012065,44 - Sở GDĐT Bình Dương,7.60,8.50,8.20,,,,8.50,8.75,9.75
9,44002273,44 - Sở GDĐT Bình Dương,7.60,8.00,8.40,,,,8.50,8.75,9.75
