,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,02075147,02 - Sở GDĐT TP. Hồ Chí Minh,3.60,3.50,,5.75,,,5.00,5.75,
1,01071087,01 - Sở GDĐT Hà Nội,3.80,3.50,,5.75,,,5.00,5.75,
2,02076687,02 - Sở GDĐT TP. Hồ Chí Minh,3.80,4.50,,5.75,,,5.00,5.75,
3,01071252,01 - Sở GDĐT Hà Nội,4.00,4.50,,5.75,,,5.00,5.75,
4,02056582,02 - Sở GDĐT TP. Hồ Chí Minh,4.00,5.25,,5.75,,,5.00,5.75,
5,01084238,01 - Sở GDĐT Hà Nội,4.00,5.50,,5.75,,,5.00,5.75,
6,02055355,02 - Sở GDĐT TP. Hồ Chí Minh,4.20,6.00,,5.75,,,5.00,5.75,
7,02078686,02 - Sở GDĐT TP. Hồ Chí Minh,4.40,4.00,,5.75,,,5.00,5.75,
8,02056075,02 - Sở GDĐT TP. Hồ Chí Minh,4.40,5.50,,5.75,,,5.00,5.75,
9,03012886,03 - Sở GDĐT Hải Phòng,4.40,5.75,,5.75,,,5.00,5.75,
10,01075517,01 - Sở GDĐT Hà Nội,4.60,4.25,,5.75,,,5.00,5.75,
11,02056061,02 - Sở GDĐT TP. Hồ Chí Minh,4.60,5.25,,5.75,,,5.00,5.75,
12,01070277,01 - Sở GDĐT Hà Nội,4.80,3.50,,5.75,,,5.00,5.75,
13,02062985,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,5.00,,5.75,,,5.00,5.75,
14,03014823,03 - Sở GDĐT Hải Phòng,4.80,5.00,,5.75,,,5.00,5.75,
15,02074564,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,5.50,,5.75,,,5.00,5.75,
16,03012954,03 - Sở GDĐT Hải Phòng,4.80,6.00,,5.75,,,5.00,5.75,
17,01079676,01 - Sở GDĐT Hà Nội,4.80,6.25,,5.75,,,5.00,5.75,
18,02061168,02 - Sở GDĐT TP. Hồ Chí Minh,5.00,3.25,,5.75,,,5.00,5.75,
19,03015129,03 - Sở GDĐT Hải Phòng,5.00,6.25,,5.75,,,5.00,5.75,
20,03014772,03 - Sở GDĐT Hải Phòng,5.00,6.50,,5.75,,,5.00,5.75,
21,02061233,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,3.25,,5.75,,,5.00,5.75,
22,02079894,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,3.50,,5.75,,,5.00,5.75,
23,02051079,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,4.00,,5.75,,,5.00,5.75,
